王王	515653500409094262	N市m区3路	3270	235048274763046666	3
芬达王	524685134706923394	A市r区7路	1280	102617901354377568	1
八宝粥矿泉水	080593804083967369	W市m区5路	5996	588158087266091431	2
瓜子瓜子	677514678593491065	H市y区3路	5174	456790925221544197	0
八宝粥矿泉水	268999856508772161	C市k区4路	1162	588158087266091431	2
张王	145794974399677417	R市z区8路	5865	235048274763046666	3
键盘键盘	121000957732573095	Q市z区1路	7891	064799737467371758	4
矿泉水张	889293114282380770	V市a区5路	9727	064799737467371758	4
瓜子芬达	299286393345471979	E市n区1路	2502	588158087266091431	2
哈哈笔记本	493984064794804391	O市e区7路	1850	064799737467371758	4
笔记本瓜子	379917797388050021	V市e区5路	4992	064799737467371758	4
李可乐	534477355320933918	F市q区8路	2601	235048274763046666	3
笔记本哈哈	206206414118620319	A市w区5路	9991	588158087266091431	2
笔记本李	802985297620713135	J市k区7路	8102	102617901354377568	1
哈哈八宝粥	225993170145242762	N市v区6路	2901	102617901354377568	1
可乐芬达	424307054942200539	H市x区7路	2631	588158087266091431	2
芬达矿泉水	235315738837269023	H市d区3路	3264	064799737467371758	4
张键盘	841412044231240087	W市w区8路	7541	102617901354377568	1
键盘李	782093954574685795	O市j区2路	7213	588158087266091431	2
哈哈矿泉水	818708986079965530	J市l区5路	9257	064799737467371758	4
八宝粥王	840394237033393903	O市v区3路	6744	456790925221544197	0
可乐可乐	979914127349211246	F市h区9路	7132	588158087266091431	2
八宝粥八宝粥	191509763759266324	L市v区2路	4587	102617901354377568	1
键盘芬达	239157852159199977	F市f区9路	8404	456790925221544197	0
键盘可乐	740090816678112450	S市h区6路	5951	064799737467371758	4
王键盘	354368659594227910	E市h区9路	690	102617901354377568	1
王王	695278628539763961	K市v区8路	7253	064799737467371758	4
芬达八宝粥	442994815534631530	W市b区0路	7080	102617901354377568	1
键盘矿泉水	933119544872175149	K市j区3路	1907	064799737467371758	4
八宝粥瓜子	472271118538530995	V市m区9路	5249	064799737467371758	4
张瓜子	179463989499972720	G市g区9路	6987	588158087266091431	2
笔记本李	631799391310760798	Q市c区0路	1547	235048274763046666	3
矿泉水八宝粥	647759555212052595	P市o区0路	6329	102617901354377568	1
笔记本芬达	304868007629995906	G市m区0路	4719	235048274763046666	3
王哈哈	682834705163659099	O市s区5路	5014	064799737467371758	4
八宝粥王	590486010427887967	G市l区9路	6528	235048274763046666	3
矿泉水矿泉水	529657958554987794	O市k区8路	9070	235048274763046666	3
芬达矿泉水	978347402991571905	R市m区6路	218	064799737467371758	4
芬达王	869578474337243669	E市l区7路	1240	102617901354377568	1
张芬达	748048845953085382	O市u区0路	9035	588158087266091431	2
张王	205157269705667858	L市b区5路	3576	456790925221544197	0
哈哈矿泉水	040291138452111042	Q市b区8路	5675	064799737467371758	4
王芬达	593037774298499995	R市x区8路	3504	456790925221544197	0
键盘张	112126161585411187	A市y区2路	8871	064799737467371758	4
可乐哈哈	854722350706710867	B市n区7路	6486	064799737467371758	4
八宝粥可乐	227659306352605808	H市s区4路	7756	456790925221544197	0
可乐王	085600259423805449	M市x区1路	8187	456790925221544197	0
哈哈哈哈	766341270890215630	Q市m区9路	1413	235048274763046666	3
李王	193701787127347709	J市s区2路	2538	102617901354377568	1
