085600259423805449	P1	5
191509763759266324	P2	5
193701787127347709	P2	10
225993170145242762	P2	3
179463989499972720	P3	12
206206414118620319	P3	3
080593804083967369	P3	7
145794974399677417	P4	2
304868007629995906	P4	5
515653500409094262	P4	3
040291138452111042	P5	11
112126161585411187	P5	6
121000957732573095	P5	7
235315738837269023	P5	9
085600259423805449	P6	9
205157269705667858	P6	5
239157852159199977	P6	4
840394237033393903	P6	13
979914127349211246	P7	20
782093954574685795	P7	5
299286393345471979	P7	8
040291138452111042	P8	2
235315738837269023	P8	10
121000957732573095	P8	9
206206414118620319	P9	1
782093954574685795	P9	10
085600259423805449	P10	9
